latitude,longitude,duration
51.50013942,-0.113936001,1740
51.46134382,-0.159322467,900
51.504942,-0.115533,780
51.521889,-0.04667,1020
51.513875,-0.117774,1560
51.46718562,-0.152248582,600
51.51423368,-0.073537654,540
51.51310333,-0.13121385,1560
51.50860544,-0.193764092,1080
51.50946212,-0.124749274,720
51.50581776,-0.100186337,360
51.51196,-0.142783033,720
51.50379168,-0.11282408,900
51.48089844,-0.183853573,720
51.49888404,-0.165471605,1800
51.528224,-0.037471,300
51.520955,-0.083493552,600
51.49247977,-0.178433004,360
51.505461,-0.10454093,840
51.50581776,-0.100186337,1260
51.48985626,-0.141923621,660
51.50542628,-0.150817316,1980
51.51918144,-0.140485596,480
51.53932857,-0.074284675,1020
51.47453545,-0.170210533,300
51.51611887,-0.128585022,720
51.48591714,-0.124469948,480
51.50462759,-0.091773776,720
51.49616092,-0.140947636,360
51.503083,-0.017676,0
51.511066,-0.053558,840
51.47727637,-0.189210466,840
51.50686435,-0.150666888,420
51.527152,-0.058005,1920
51.48512191,-0.174971902,1680
51.511246,-0.093051,780
51.51340693,-0.076793375,360
51.509303,-0.025996,660
51.51580998,-0.105270275,720
51.51227622,-0.157436972,1740
51.5015946,-0.222293381,1260
51.521776,-0.068856,360
51.50630441,-0.087262995,960
51.51382102,-0.107927706,900
51.51244,-0.19096,11520
51.52512,-0.015578,2640
51.51155322,-0.0929401,480
51.49812559,-0.132102166,840
51.52285301,-0.099994052,900
51.534137,-0.037366,1020
51.52554222,-0.138231303,180
51.50613324,-0.114686385,1740
51.51615461,-0.082422399,780
51.52522753,-0.13518856,900
51.52085887,-0.089887855,960
51.51782144,-0.096496865,1200
51.52443845,-0.138019439,900
51.5097860151,-0.0681619805156,0
51.52451738,-0.158963647,1320
51.50315739,-0.191496313,720
51.53404294,-0.086379717,540
51.52367314,-0.128377673,480
51.52916347,-0.109970527,1080
51.5100172,-0.157275636,3300
51.51760685,-0.121328408,720
51.5216612,-0.109006325,180
51.52202903,-0.165842551,360
51.49456127,-0.15393398,1920
51.51943538,-0.119123345,480
51.526153,-0.102208,540
51.531864,-0.066035,300
51.52994371,-0.123616824,360
51.515208,-0.117863,120
51.51352755,-0.130110822,720
51.47047503,-0.152130083,300
51.499917,-0.174554,1080
51.51457763,-0.158264483,240
51.50070305,-0.129698963,780
51.46706414,-0.193502076,300
51.513875,-0.117774,600
51.50070305,-0.129698963,780
51.46866929,-0.146544642,1200
51.4968865,-0.161203828,1320
51.52557531,-0.179592915,1140
51.519362,-0.074431,420
51.528169,-0.018703,1020
51.49914063,-0.112031483,900
51.5100172,-0.157275636,1920
51.53546778,-0.11619105,1320
51.4853572,-0.142207481,420
51.52168078,-0.130431727,660
51.48089844,-0.183853573,900
51.52572618,-0.088486188,540
51.504942,-0.115533,1380
51.4996806,-0.221791552,900
51.486892,-0.170983,480
51.52659961,-0.112432615,1740
51.52261762,-0.071653961,1020
51.52536703,-0.153463612,480
51.509943,-0.117619,780
51.52451738,-0.158963647,360
51.50462759,-0.091773776,540
51.50275704,-0.155349725,840
51.51530805,-0.147203711,780
51.52600832,-0.096317627,180
51.51423368,-0.073537654,360
51.5100172,-0.157275636,1440
51.52635795,-0.125979294,360
51.493072,-0.129925,1500
51.51310333,-0.13121385,1620
51.50742485,-0.134621209,1500
51.54211855,-0.028941601,3120
51.504904,-0.06797,1200
51.51352755,-0.130110822,1200
51.53571683,-0.060291813,1080
51.5073853,-0.096440751,1380
51.509158,-0.224103,1140
51.528279,-0.11955857,540
51.52059681,-0.116688468,360
51.51251523,-0.133201961,1080
51.50630441,-0.087262995,540
51.53219984,-0.105480698,1500
51.47729232,-0.16478637,1740
51.52915444,-0.093421615,360
51.5129118,-0.153645496,600
51.54094,-0.010510565,4800
51.516204,-0.155525,1380
51.51906932,-0.088285377,0
51.5154186,-0.098850915,1080
51.51687069,-0.213872396,1020
51.52174785,-0.094475072,1140
51.51457763,-0.158264483,1380
51.50963938,-0.131510949,360
51.5128711,-0.0389866,480
51.50402794,-0.11386436,480
51.51746,-0.12335,840
51.521889,-0.04667,1380
51.52486887,-0.099489485,900
51.52058381,-0.154701411,360
51.47893931,-0.208485293,1020
51.51772703,-0.127854211,420
51.51248445,-0.099141408,1020
51.51795029,-0.108657431,960
51.5346677396,-0.125078652873,360
51.51573534,-0.093080779,480
51.520331,-0.163667,1320
51.537349,-0.147154,660
51.51646835,-0.079684557,1500
51.49395092,-0.147624377,720
51.499917,-0.174554,420
51.49571828,-0.110889274,1200
51.5262363,-0.134407652,660
51.49785559,-0.081608045,360
51.514767,-0.225787,480
51.53136059,-0.117069978,420
51.50946212,-0.124749274,1140
51.52334476,-0.183846408,4500
51.51382102,-0.107927706,540
51.517842,-0.090075,180
51.52174785,-0.094475072,780
51.50630441,-0.087262995,540
51.5154186,-0.098850915,1320
