latitude,longitude,duration
51.51461995,-0.137841333,1080
51.528246,-0.10102611,180
51.474665,-0.18316517,300
51.539099,-0.141728,840
51.49654462,-0.150905245,1560
51.47768469,-0.170329317,900
51.50654321,-0.123179697,840
51.51501025,-0.112753217,120
51.52458353,-0.058631453,1080
51.51530805,-0.147203711,780
51.52364804,-0.074754872,180
51.546805,-0.01469126,2160
51.52127071,-0.0755789,180
51.511542,-0.056667,780
51.494412,-0.173881,240
51.51809,-0.163609,960
51.516,-0.038775,900
51.50623,-0.02296,3180
51.535678,-0.062546,420
51.509303,-0.025996,720
51.50024195,-0.15934065,660
51.49824168,-0.117495865,600
51.527068,-0.13186102,180
51.48810829,-0.22660621,420
51.511542,-0.056667,240
51.49571828,-0.110889274,13140
51.48985626,-0.141923621,1080
51.52285301,-0.099994052,120
51.51891348,-0.156166631,1440
51.490083,-0.162418,2700
51.526153,-0.102208,660
51.5301998755,-0.122299440803,840
51.519362,-0.074431,840
51.50462759,-0.091773776,840
51.50581776,-0.100186337,1260
51.51811784,-0.144228881,540
51.49206037,-0.132224622,1440
51.52505093,-0.131161087,420
51.51423368,-0.073537654,120
51.527058,-0.025296,2040
51.51070161,-0.121723604,1260
51.51700801,-0.09388536,900
51.524677,-0.03562,660
51.49395092,-0.147624377,1440
51.5136846,-0.135580879,1080
51.51795029,-0.108657431,1860
51.474665,-0.18316517,540
51.486575,-0.117286,180
51.517428,-0.107987,420
51.46925984,-0.141812513,1560
51.52644342,-0.109256828,2700
51.472817,-0.199783,300
51.4916156,-0.186753859,120
51.535678,-0.062546,420
51.494499,-0.228188,900
51.50645179,-0.170279555,103680
51.506767,-0.123702,780
51.53404294,-0.086379717,1260
51.46822047,-0.190346493,600
51.519167,-0.147983,2100
51.489932,-0.162727,720
51.51461995,-0.137841333,960
51.520955,-0.083493552,420
51.50669284,-0.103137426,960
51.48591714,-0.124469948,1260
51.5129118,-0.153645496,420
51.52059681,-0.116688468,660
51.53571683,-0.060291813,3300
51.50963123,-0.119047563,1140
51.51148696,-0.218190203,540
51.52248185,-0.154907218,1680
51.51251523,-0.133201961,720
51.4931848,-0.167894973,3000
51.53095071,-0.078505384,60
51.528828,-0.013258,2160
51.50669284,-0.103137426,1740
51.511066,-0.053558,1080
51.49443626,-0.092921165,1020
51.50035306,-0.217515071,240
51.52200801,-0.151359288,660
51.51227622,-0.157436972,1620
51.50581776,-0.100186337,420
51.50597426,-0.092754157,840
51.5034938,-0.07962099,420
51.50194596,-0.194392952,600
51.474376,-0.155442787,720
51.50964,-0.08497,1140
51.52248185,-0.154907218,1020
51.51681444,-0.151926305,720
51.50946212,-0.124749274,1860
51.50623,-0.02296,720
51.52589324,-0.090847761,1620
51.50070305,-0.129698963,1620
51.50950627,-0.075459482,180
51.52452699,-0.079248081,480
51.51213691,-0.201554966,55080
51.50645179,-0.170279555,1680
51.487129,-0.009001,3960
51.50227992,-0.074189225,900
51.51687069,-0.213872396,1380
51.51477076,-0.12221963,3480
51.531864,-0.066035,660
51.48796408,-0.161765173,300
51.53219984,-0.105480698,300
51.52200801,-0.151359288,1800
51.46663393,-0.169821175,960
51.486892,-0.170983,1440
51.53136059,-0.117069978,540
51.50274025,-0.149569201,1860
51.51821864,-0.100791005,660
51.46663393,-0.169821175,480
51.51196176,-0.097441687,840
51.517703,-0.154106,1320
51.49571828,-0.110889274,240
51.47505096,-0.150908371,600
51.47787084,-0.126874471,720
51.51908011,-0.124678402,1740
51.51227622,-0.157436972,780
51.51477076,-0.12221963,1200
51.48692917,-0.102996299,660
51.539957,-0.145246,780
51.49087074,-0.206029743,360
51.53638435,-0.102757578,540
51.51858757,-0.132053392,960
51.51397065,-0.09294031,1200
51.487196,-0.179369,300
51.485821,-0.149004,120
51.47073264,-0.126994068,960
51.49464523,-0.158105512,1320
51.49571828,-0.110889274,1440
51.492462,-0.159919,300
51.50654321,-0.123179697,960
51.5154186,-0.098850915,720
51.52589324,-0.090847761,1740
51.475089,-0.201968,300
51.52659961,-0.112432615,840
51.521668,-0.079608554,900
51.48335692,-0.216305546,360
51.49654462,-0.150905245,3180
51.50311799,-0.153520935,1620
51.52994371,-0.123616824,960
51.5216612,-0.109006325,720
51.53558,-0.08249,360
51.49320445,-0.144132875,840
51.53589283,-0.160854428,1320
51.497622,-0.125978,480
51.50556905,-0.111606696,3120
51.532091,-0.06142,360
51.47993289,-0.19411695,12000
51.528869,-0.047548,600
51.50613324,-0.114686385,2220
51.49886563,-0.137424571,540
51.546805,-0.01469126,2280
51.513735,-0.193487,660
51.49357351,-0.139956043,120
51.53658514,-0.075885686,600
51.49234577,-0.141334487,960
51.528302,-0.144466,5700
51.49652013,-0.101384068,1740
51.46067005,-0.198735357,900
51.511066,-0.053558,1380
51.50402794,-0.11386436,480
51.521889,-0.04667,1680
51.51431171,-0.200838199,900
51.51646835,-0.079684557,480
51.5054099403,-0.0983410884509,360
51.511624,-0.205921,960
51.50039792,-0.193068385,420
51.51175646,-0.119643424,480
51.52505093,-0.131161087,1560
51.46706414,-0.193502076,960
